GlyTouCanAccession,GlycomeDBID,GlycOID,Enzyme:RefSeqAccession,Enzyme:GeneID,Enzyme:GeneName,Enzyme:Description,Enzyme:TaxonomyID,Enzyme:Organism
G38121JC,35191,GOG598,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G38121JC,35191,GOG598,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G38121JC,35191,GOG598,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G38121JC,35191,GOG598,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G38121JC,35191,GOG598,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G38121JC,35191,GOG598,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G28948UC,13425,GOG290,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G28948UC,13425,GOG290,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G28948UC,13425,GOG290,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G28948UC,13425,GOG290,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G28948UC,13425,GOG290,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G28948UC,13425,GOG290,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G28948UC,13425,GOG290,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G28948UC,13425,GOG290,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G28948UC,13425,GOG290,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G28948UC,13425,GOG290,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G28948UC,13425,GOG290,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G28948UC,13425,GOG290,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G28948UC,13425,GOG290,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G25350TT,13552,GOG332,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G25350TT,13552,GOG332,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G25350TT,13552,GOG332,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G25350TT,13552,GOG332,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G25350TT,13552,GOG332,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G25350TT,13552,GOG332,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G25350TT,13552,GOG332,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G25350TT,13552,GOG332,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G89877QI,3166,GOG55,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G89877QI,3166,GOG55,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G89877QI,3166,GOG55,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G89877QI,3166,GOG55,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G89877QI,3166,GOG55,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G89877QI,3166,GOG55,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G89877QI,3166,GOG55,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G89877QI,3166,GOG55,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G89877QI,3166,GOG55,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G89877QI,3166,GOG55,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G89877QI,3166,GOG55,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G89877QI,3166,GOG55,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G27553PQ,38250,GOG758,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G27553PQ,38250,GOG758,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G27553PQ,38250,GOG758,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G27553PQ,38250,GOG758,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G27553PQ,38250,GOG758,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G27553PQ,38250,GOG758,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G27553PQ,38250,GOG758,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G27553PQ,38250,GOG758,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G27553PQ,38250,GOG758,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G27553PQ,38250,GOG758,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G27553PQ,38250,GOG758,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G27553PQ,38250,GOG758,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G27553PQ,38250,GOG758,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G40520NG,38259,GOG767,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G40520NG,38259,GOG767,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G40520NG,38259,GOG767,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G40520NG,38259,GOG767,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G40520NG,38259,GOG767,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G40520NG,38259,GOG767,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G40520NG,38259,GOG767,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G40520NG,38259,GOG767,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G40520NG,38259,GOG767,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G40520NG,38259,GOG767,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G40520NG,38259,GOG767,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G40520NG,38259,GOG767,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G40520NG,38259,GOG767,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G94363RH,14650,GOG112,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G94363RH,14650,GOG112,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G94363RH,14650,GOG112,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G94363RH,14650,GOG112,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G94363RH,14650,GOG112,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G94363RH,14650,GOG112,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G94363RH,14650,GOG112,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G94363RH,14650,GOG112,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G94363RH,14650,GOG112,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G94363RH,14650,GOG112,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G94363RH,14650,GOG112,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G94363RH,14650,GOG112,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G64587LY,38267,GOG775,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G64587LY,38267,GOG775,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G64587LY,38267,GOG775,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G64587LY,38267,GOG775,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G64587LY,38267,GOG775,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G64587LY,38267,GOG775,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G64587LY,38267,GOG775,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G64587LY,38267,GOG775,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G64587LY,38267,GOG775,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G64587LY,38267,GOG775,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G64587LY,38267,GOG775,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G64587LY,38267,GOG775,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G17953GN,38116,GOG623,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G17953GN,38116,GOG623,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G17953GN,38116,GOG623,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G17953GN,38116,GOG623,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G17953GN,38116,GOG623,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G17953GN,38116,GOG623,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G17953GN,38116,GOG623,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G17953GN,38116,GOG623,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G17953GN,38116,GOG623,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G17953GN,38116,GOG623,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G17953GN,38116,GOG623,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G17953GN,38116,GOG623,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G17953GN,38116,GOG623,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G34678QT,35186,GOG593,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G34678QT,35186,GOG593,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G34678QT,35186,GOG593,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G34678QT,35186,GOG593,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G34678QT,35186,GOG593,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G34678QT,35186,GOG593,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G34678QT,35186,GOG593,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G34678QT,35186,GOG593,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G34678QT,35186,GOG593,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G34678QT,35186,GOG593,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G34678QT,35186,GOG593,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G34678QT,35186,GOG593,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G02496HH,38325,GOG834,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G02496HH,38325,GOG834,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G02496HH,38325,GOG834,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G02496HH,38325,GOG834,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G02496HH,38325,GOG834,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G02496HH,38325,GOG834,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G02496HH,38325,GOG834,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G02496HH,38325,GOG834,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G02496HH,38325,GOG834,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G02496HH,38325,GOG834,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G02496HH,38325,GOG834,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G02496HH,38325,GOG834,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G43942MH,38203,GOG710,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G43942MH,38203,GOG710,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G43942MH,38203,GOG710,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G43942MH,38203,GOG710,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G43942MH,38203,GOG710,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G43942MH,38203,GOG710,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G43942MH,38203,GOG710,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G43942MH,38203,GOG710,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G43942MH,38203,GOG710,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G43942MH,38203,GOG710,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G43942MH,38203,GOG710,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G43942MH,38203,GOG710,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G43942MH,38203,GOG710,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G97674NY,13576,GOG342,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G97674NY,13576,GOG342,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G97674NY,13576,GOG342,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G97674NY,13576,GOG342,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G97674NY,13576,GOG342,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G97674NY,13576,GOG342,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G97674NY,13576,GOG342,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G97674NY,13576,GOG342,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G97674NY,13576,GOG342,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G97674NY,13576,GOG342,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G97674NY,13576,GOG342,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G97674NY,13576,GOG342,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G99887YN,38133,GOG640,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G99887YN,38133,GOG640,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G99887YN,38133,GOG640,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G99887YN,38133,GOG640,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G99887YN,38133,GOG640,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G99887YN,38133,GOG640,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G99887YN,38133,GOG640,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G99887YN,38133,GOG640,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G99887YN,38133,GOG640,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G99887YN,38133,GOG640,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G99887YN,38133,GOG640,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G99887YN,38133,GOG640,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G99887YN,38133,GOG640,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G80451YS,38138,GOG645,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G80451YS,38138,GOG645,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G80451YS,38138,GOG645,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G80451YS,38138,GOG645,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G80451YS,38138,GOG645,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G80451YS,38138,GOG645,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G80451YS,38138,GOG645,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G80451YS,38138,GOG645,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G39439UR,14499,GOG545,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G39439UR,14499,GOG545,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G39439UR,14499,GOG545,NM_016893,53618,Fut8,fucosyltransferase 8,10090,Mus musculus
G39439UR,14499,GOG545,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G39439UR,14499,GOG545,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G39439UR,14499,GOG545,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G39439UR,14499,GOG545,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G86002PC,13728,GOG375,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G86002PC,13728,GOG375,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G86002PC,13728,GOG375,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G86002PC,13728,GOG375,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G86002PC,13728,GOG375,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G86002PC,13728,GOG375,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G86002PC,13728,GOG375,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G86002PC,13728,GOG375,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G86002PC,13728,GOG375,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G86002PC,13728,GOG375,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G86002PC,13728,GOG375,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G08076GP,979,GOG25,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G08076GP,979,GOG25,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G08076GP,979,GOG25,NM_145939,208624,Alg3,"asparagine-linked glycosylation 3 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G08076GP,979,GOG25,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G08076GP,979,GOG25,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
G08076GP,979,GOG25,NM_177130,320302,Glt28d2,glycosyltransferase 28 domain containing 2,10090,Mus musculus
G08076GP,979,GOG25,NM_019998,56737,Alg2,"asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)",10090,Mus musculus
G61261HA,38136,GOG643,NM_010794,17308,Mgat1,mannoside acetylglucosaminyltransferase 1,10090,Mus musculus
G61261HA,38136,GOG643,NM_145362,208211,Alg1,"asparagine-linked glycosylation 1 (beta-1,4-mannosyltransferase)",10090,Mus musculus
G61261HA,38136,GOG643,NM_020579,57370,B4galt3,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3",10090,Mus musculus
G61261HA,38136,GOG643,NM_022305,14595,B4galt1,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",10090,Mus musculus
G61261HA,38136,GOG643,NM_017377,53418,B4galt2,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2",10090,Mus musculus
G61261HA,38136,GOG643,NM_019804,56375,B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",10090,Mus musculus
G61261HA,38136,GOG643,NM_019835,56336,B4galt5,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",10090,Mus musculus
G61261HA,38136,GOG643,NM_146035,217664,Mgat2,mannoside acetylglucosaminyltransferase 2,10090,Mus musculus
G61261HA,38136,GOG643,NM_024178,66789,Alg14,asparagine-linked glycosylation 14,10090,Mus musculus
G61261HA,38136,GOG643,NM_026247,67574,Alg13,asparagine-linked glycosylation 13,10090,Mus musculus
