UniProt Acc(canonical),status,gene_symbol,reviewed_isoforms,unreviewed_isoforms
Q92543-1,reviewed,SNX19,Q92543-1|Q92543-2,E9PLV3-1
Q8NA29-1,reviewed,MFSD2A,Q8NA29-1|Q8NA29-2|Q8NA29-3,E7EPI8-1
E7ENQ6-1,unreviewed,ENSG00000258674,,E7ENQ6-1
P18405-1,reviewed,SRD5A1,P18405-1,D6RDL6-1
Q8N4L8-1,reviewed,CCDC24,Q8N4L8-1|Q8N4L8-2,V9GY72-1
Q9BYP7-1,reviewed,WNK3,Q9BYP7-1|Q9BYP7-2|Q9BYP7-3|Q9BYP7-4,B1AQN8-1
Q13349-1,reviewed,ITGAD,Q13349-1,
Q9BTX1-1,reviewed,NDC1,Q9BTX1-1|Q9BTX1-2|Q9BTX1-3|Q9BTX1-4|Q9BTX1-5|Q9BTX1-6,
Q5HYC2-1,reviewed,KIAA2026,Q5HYC2-1|Q5HYC2-2,H0YFF4-1
O75820-1,reviewed,ZNF189,O75820-1|O75820-2|O75820-3|O75820-4,A0A087X0K2-1
Q9BRB3-1,reviewed,PIGQ,Q9BRB3-1|Q9BRB3-2|Q9BRB3-3,A0A1B0GUF6-1
Q5TGJ6-1,reviewed,HDGFL1,Q5TGJ6-1,
Q04206-1,reviewed,RELA,Q04206-3|Q04206-1|Q04206-2|Q04206-4,E9PSE4-1
P31513-1,reviewed,FMO3,P31513-1,V9GZ60-1
P06276-1,reviewed,BCHE,P06276-1,F8WF14-1
Q8IVJ8-1,reviewed,C3orf35,Q8IVJ8-1|Q8IVJ8-2|Q8IVJ8-3,
Q8N766-1,reviewed,EMC1,Q8N766-1|Q8N766-2|Q8N766-3|Q8N766-4,A0A286YEW0-1
P49590-1,reviewed,HARS2,P49590-1|P49590-2,D6RJE6-1
Q86VU5-1,reviewed,COMTD1,Q86VU5-1,R4GNF4-1
O15541-1,reviewed,RNF113A,O15541-1,
Q8TAD7-1,reviewed,C12orf75,Q8TAD7-1,F8VXK5-1
Q8NGD1-1,reviewed,OR4N2,Q8NGD1-1,G3V3W5-1
Q9BWD3-1,reviewed,RTL8A,Q9BWD3-1,
Q96DP5-1,reviewed,MTFMT,Q96DP5-1|Q96DP5-2,H3BTN9-1
A2RU49-1,reviewed,HYKK,A2RU49-1|A2RU49-2|A2RU49-3,A0A0C4DGM4-1
H0YIZ8-1,unreviewed,ENSG00000258466,,H0YIZ8-1
Q5VYX0-1,reviewed,RNLS,Q5VYX0-1|Q5VYX0-2,F6XA08-1
Q8WYJ6-1,reviewed,SEPT1,Q8WYJ6-1|Q8WYJ6-2,H3BS52-1
O14579-1,reviewed,COPE,O14579-1|O14579-2|O14579-3,M0R061-1
Q9Y3L5-1,reviewed,RAP2C,Q9Y3L5-1,A0A087X2C3-1
P50607-1,reviewed,TUB,P50607-1|P50607-2,E9PQR4-1
P0CW21-1,reviewed,HGNC:39933,P0CW21-1,
P40616-1,reviewed,ARL1,P40616-1|P40616-2,F8VYN9-1
Q58G82-1,reviewed,HGNC:33429,Q58G82-1,
H3BMM0-1,unreviewed,ENSG00000258677,,H3BMM0-1
P04196-1,reviewed,HRG,P04196-1,
Q8NFU5-1,reviewed,IPMK,Q8NFU5-1,
Q7Z5U6-1,reviewed,WDR53,Q7Z5U6-1,C9JJZ8-1
Q8WVI7-1,reviewed,PPP1R1C,Q8WVI7-1|Q8WVI7-2,
Q92736-1,reviewed,RYR2,Q92736-1|Q92736-2,H7BY35-1
Q8WVL7-1,reviewed,ANKRD49,Q8WVL7-1,F5H227-1
A0A075B6Y1-1,unreviewed,TRAJ30,,A0A075B6Y1-1
Q16206-1,reviewed,ENOX2,Q16206-2|Q16206-1,B1AKF7-1
P10620-1,reviewed,MGST1,P10620-1|P10620-2,F5H6X2-1
Q9UJT1-1,reviewed,TUBD1,Q9UJT1-1|Q9UJT1-2|Q9UJT1-3|Q9UJT1-4|Q9UJT1-5|Q9UJT1-6,K7EKE2-1
P49848-1,reviewed,TAF6,P49848-1|P49848-2|P49848-3,J3KR72-1
P22105-1,reviewed,TNXB,P22105-1|P22105-2|P22105-3|P22105-4,C9J7W4-1
Q9Y385-1,reviewed,UBE2J1,Q9Y385-1,
O14964-1,reviewed,HGS,O14964-1|O14964-2,I3L1E3-1
P49006-1,reviewed,MARCKSL1,P49006-1,
Q96TA2-1,reviewed,YME1L1,Q96TA2-1|Q96TA2-2|Q96TA2-3,R4GNA5-1
Q9HCG7-1,reviewed,GBA2,Q9HCG7-1|Q9HCG7-2|Q9HCG7-3,A0A0A0MRV1-1
O75506-1,reviewed,HSBP1,O75506-1,H3BR28-1
Q9BSC4-1,reviewed,NOL10,Q9BSC4-1|Q9BSC4-2|Q9BSC4-3|Q9BSC4-4,H7C1Z3-1
Q9HCM7-1,reviewed,FBRSL1,Q9HCM7-1,A0A1B0GUN3-1
O60662-1,reviewed,KLHL41,O60662-1|O60662-2,
P40879-1,reviewed,SLC26A3,P40879-1,F8WBL6-1
P14921-1,reviewed,ETS1,P14921-1|P14921-2|P14921-3|P14921-4|P14921-5,V9GYD6-1
Q9P0P0-1,reviewed,RNF181,Q9P0P0-1,C9J391-1
P35913-1,reviewed,PDE6B,P35913-1|P35913-2|P35913-3,C9J7V6-1
Q499Y3-1,reviewed,-,Q499Y3-1,
A0A1B0GUA6-1,reviewed,CCDC195,A0A1B0GUA6-1,
Q9UMN6-1,reviewed,KMT2B,Q9UMN6-1|Q9UMN6-2,
A0A024R0T9-1,unreviewed,APOC4-APOC2,,A0A024R0T9-1
Q96N76-1,reviewed,UROC1,Q96N76-1|Q96N76-2,
Q96A98-1,reviewed,PTH2,Q96A98-1,
Q9BVI4-1,reviewed,NOC4L,Q9BVI4-1,F5H303-1
Q2M3W8-1,reviewed,ZNF181,Q2M3W8-1|Q2M3W8-2|Q2M3W8-3,M0R1Q2-1
Q9Y2Y4-1,reviewed,ZBTB32,Q9Y2Y4-1,K7EMJ1-1
Q8TC56-1,reviewed,FAM71B,Q8TC56-1,
Q9BZS1-1,reviewed,FOXP3,Q9BZS1-1|Q9BZS1-2|Q9BZS1-3|Q9BZS1-4,A0A0C4DFW6-1
Q9NPF5-1,reviewed,DMAP1,Q9NPF5-1,Q5TG40-1
P48506-1,reviewed,GCLC,P48506-1,D6R959-1
Q96SI9-1,reviewed,STRBP,Q96SI9-1|Q96SI9-2,H0YD70-1
Q96S96-1,reviewed,PEBP4,Q96S96-1,E5RIK3-1
A0A0B4J2F0-1,reviewed,PIGBOS1,A0A0B4J2F0-1,A0A087WXK0-1
Q7Z2Z1-1,reviewed,TICRR,Q7Z2Z1-1|Q7Z2Z1-2,H0YN97-1
O95633-1,reviewed,FSTL3,O95633-1|O95633-2,K7EM71-1
Q2WGN9-1,reviewed,GAB4,Q2WGN9-1,H0YB31-1
Q9BZQ8-1,reviewed,FAM129A,Q9BZQ8-1,H0Y7M9-1
Q13477-1,reviewed,MADCAM1,Q13477-1|Q13477-2|Q13477-3|Q13477-4,A0A087X1F1-1
P29762-1,reviewed,CRABP1,P29762-1,B5MCB5-1
Q9UBB6-1,reviewed,NCDN,Q9UBB6-1|Q9UBB6-2|Q9UBB6-3,C9J5H8-1
Q6JBY9-1,reviewed,RCSD1,Q6JBY9-1|Q6JBY9-2,B7ZKW8-1
P49840-1,reviewed,GSK3A,P49840-1,A8MT37-1
P10589-1,reviewed,NR2F1,P10589-1,F1DAL9-1
Q9UK08-1,reviewed,GNG8,Q9UK08-1,
Q13505-1,reviewed,MTX1,Q13505-1|Q13505-2|Q13505-3,A0A0C4DFQ1-1
A0A1B0GTR0-1,reviewed,EDDM13,A0A1B0GTR0-1,A0A1B0GU87-1
Q8N729-1,reviewed,NPW,Q8N729-1,H3BT42-1
I3L3B4-1,unreviewed,ENSG00000255439,,I3L3B4-1
P01574-1,reviewed,IFNB1,P01574-1,
A0A087WZK3-1,unreviewed,ENSG00000233757,,A0A087WZK3-1
A0A1B0GWD9-1,unreviewed,ABHD14A-ACY1,,A0A1B0GWD9-1
O94827-1,reviewed,PLEKHG5,O94827-1|O94827-2|O94827-3|O94827-4|O94827-5|O94827-6|O94827-7,Q5SY18-1
O15440-1,reviewed,ABCC5,O15440-1|O15440-2|O15440-3|O15440-4|O15440-5,E9PET4-1
P58401-1,reviewed,NRXN2,Q9P2S2-1|Q9P2S2-2|P58401-1,
P50570-1,reviewed,DNM2,P50570-1|P50570-2|P50570-3|P50570-4|P50570-5,K7ENE7-1
Q8IV13-1,reviewed,CCNJL,Q8IV13-1|Q8IV13-2,F6RF56-1
Q6QEF8-1,reviewed,CORO6,Q6QEF8-1|Q6QEF8-2|Q6QEF8-3|Q6QEF8-4|Q6QEF8-5,J3QRV4-1
Q9NVI1-3,reviewed,FANCI,Q9NVI1-3|Q9NVI1-2|Q9NVI1-1|Q9NVI1-4,H3BN35-1
Q537H7-1,reviewed,SPATA45,Q537H7-1,
Q8NBP7-1,reviewed,PCSK9,Q8NBP7-1|Q8NBP7-2,
Q6P2P2-1,reviewed,PRMT9,Q6P2P2-1|Q6P2P2-2,D6REN0-1
P30460-1,reviewed,HLA-B,P30460-1,A0A140T9G0-1
A6NIZ1-1,reviewed,-,A6NIZ1-1,
P37268-1,reviewed,FDFT1,P37268-1|P37268-2|P37268-3|P37268-4|P37268-5,E9PS69-1
Q8N443-1,reviewed,RIBC1,Q8N443-1|Q8N443-2|Q8N443-3,A0A0C4DFR2-1
A0A0D9SEW6-1,unreviewed,ENSG00000281883,,A0A0D9SEW6-1
Q92551-1,reviewed,IP6K1,Q92551-1|Q92551-2,C9JNA8-1
J3QRE1-1,unreviewed,ENSG00000265303,,J3QRE1-1
Q9H503-1,reviewed,BANF2,Q9H503-1|Q9H503-2,B1AM15-1
P19544-1,reviewed,WT1,P19544-1|P19544-6|P19544-2|P19544-3|P19544-4|P19544-7|P19544-8|P19544-9,H0YED9-1
Q92600-1,reviewed,CNOT9,Q92600-1|Q92600-2|Q92600-3,H7C0W0-1
Q96LT9-1,reviewed,RNPC3,Q96LT9-1|Q96LT9-2,H0YEB8-1
Q494R0-1,reviewed,HGNC:27557,Q494R0-1,
Q9H346-1,reviewed,OR52D1,Q9H346-1,
Q92905-1,reviewed,COPS5,Q92905-1,E5RK55-1
P25929-1,reviewed,NPY1R,P25929-1,D6RHH6-1
Q96DU7-1,reviewed,ITPKC,Q96DU7-1,M0R2L7-1
Q9Y3T6-1,reviewed,R3HCC1,Q9Y3T6-1|Q9Y3T6-3,A0A0D9SFI4-1
Q8NGK6-1,reviewed,OR52I1,Q8NGK6-1,J3KQU7-1
Q9Y5I0-1,reviewed,PCDHA13,Q9Y5I0-1|Q9Y5I0-2,C9JA99-1
A0A1W2PPC4-1,unreviewed,ENSG00000283782,,A0A1W2PPC4-1
P39019-1,reviewed,RPS19,P39019-1,M0R140-1
A0A0B4J276-1,unreviewed,TRAV25,,A0A0B4J276-1
Q9UIH9-1,reviewed,KLF15,Q9UIH9-1,
A0A075B6Y9-1,unreviewed,TRAJ42,,A0A075B6Y9-1
Q4G0G2-1,reviewed,HGNC:27953,Q4G0G2-1,
Q92743-1,reviewed,HTRA1,Q92743-1,H0Y7G9-1
Q16610-1,reviewed,ECM1,Q16610-1|Q16610-2|Q16610-3|Q16610-4,
Q96BM9-1,reviewed,ARL8A,Q96BM9-1,A0A087X2J2-1
Q8WXB1-1,reviewed,METTL21A,Q8WXB1-1|Q8WXB1-2,H7BXH9-1
Q96A32-1,reviewed,MYLPF,Q96A32-1,H3BN54-1
Q9BZ98-1,reviewed,HGNC:18493,Q9BZ98-1,
Q8N2G8-1,reviewed,GHDC,Q8N2G8-1|Q8N2G8-2|Q8N2G8-3,K7ESN3-1
Q15014-1,reviewed,MORF4L2,Q15014-1,Q5JXX1-1
O43353-1,reviewed,RIPK2,O43353-1|O43353-2,E7ERW9-1
P80297-1,reviewed,MT1X,P80297-1,U3KQD7-1
Q9UI95-1,reviewed,MAD2L2,Q9UI95-1,B1AK44-1
Q9NQW8-1,reviewed,CNGB3,Q9NQW8-1|Q9NQW8-2,H0YAZ4-1
A6NEQ0-1,reviewed,RBMY1E,A6NEQ0-1,
Q9Y4K4-1,reviewed,MAP4K5,Q9Y4K4-1,G3V5C6-1
P57057-1,reviewed,SLC37A1,P57057-1,A0A0C4DG69-1
Q5BKX8-1,reviewed,CAVIN4,Q5BKX8-1,
Q8WX77-1,reviewed,IGFBPL1,Q8WX77-1,
Q70JA7-1,reviewed,CHSY3,Q70JA7-1,
O43681-1,reviewed,ASNA1,O43681-1,K7ERW9-1
Q9UJA2-1,reviewed,CRLS1,Q9UJA2-1|Q9UJA2-2,Q6NTG3-1
Q9NRN5-1,reviewed,OLFML3,Q9NRN5-1|Q9NRN5-2|Q9NRN5-3,B4DNG0-1
O95711-1,reviewed,LY86,O95711-1,
Q7Z5S9-1,reviewed,TMEM144,Q7Z5S9-1|Q7Z5S9-2,D6RDF9-1
Q76I76-1,reviewed,SSH2,Q76I76-1|Q76I76-2|Q76I76-3|Q76I76-4,F5H527-1
P06744-1,reviewed,GPI,P06744-1|P06744-2,K7EQ48-1
Q2VPB7-1,reviewed,AP5B1,Q2VPB7-1,
Q5TEA3-1,reviewed,C20orf194,Q5TEA3-1,
Q5TCM9-1,reviewed,LCE5A,Q5TCM9-1,
A0A087WSZ3-1,unreviewed,ENSG00000278500,,A0A087WSZ3-1
H3BM21-1,unreviewed,ENSG00000259753,,H3BM21-1
O15504-1,reviewed,NUPL2,O15504-1|O15504-2|O15504-3,F8WC66-1
A8K979-1,reviewed,ERI2,A8K979-1|A8K979-2|A8K979-3|A8K979-4,H3BN77-1
O96018-1,reviewed,APBA3,O96018-1,
Q13643-1,reviewed,FHL3,Q13643-1,
Q9NVM6-1,reviewed,DNAJC17,Q9NVM6-1,H0YLV4-1
Q8N4B1-1,reviewed,FAM109A,Q8N4B1-4|Q8N4B1-1|Q8N4B1-2|Q8N4B1-3,F8VZK7-1
Q9H9P2-1,reviewed,CHODL,Q9H9P2-1|Q9H9P2-2|Q9H9P2-3|Q9H9P2-4,A0A0C4DFS2-1
O14558-1,reviewed,HSPB6,O14558-1,A0A1X7SC65-1
Q9UKN8-1,reviewed,GTF3C4,Q9UKN8-1,F2Z356-1
P50148-1,reviewed,GNAQ,P50148-1,B1AM21-1
Q8IV50-1,reviewed,LYSMD2,Q8IV50-1|Q8IV50-2,H0YK98-1
P36959-1,reviewed,GMPR,P36959-1,
Q8N5D0-1,reviewed,WDTC1,Q8N5D0-4|Q8N5D0-1|Q8N5D0-2|Q8N5D0-3|Q8N5D0-5|Q8N5D0-6,H0YEI6-1
Q96NL3-1,reviewed,ZNF599,Q96NL3-1|Q96NL3-2,K7EJP3-1
O43169-1,reviewed,CYB5B,O43169-1,J3KNF8-1
Q95604-1,reviewed,HLA-C,Q95604-1,
Q7Z3V5-1,reviewed,ZNF571,Q7Z3V5-1,K7ERB9-1
P60412-1,reviewed,KRTAP10-11,P60412-1,
Q10586-1,reviewed,DBP,Q10586-1,M0QXW3-1
Q8NB14-1,reviewed,USP38,Q8NB14-1|Q8NB14-2,H0Y9H5-1
Q14161-1,reviewed,GIT2,Q14161-11|Q14161-1|Q14161-2|Q14161-3|Q14161-4|Q14161-5|Q14161-6|Q14161-7|Q14161-8|Q14161-9|Q14161-10,R4GNG3-1
Q9BXJ7-1,reviewed,AMN,Q9BXJ7-1,H0YMX8-1
O00522-1,reviewed,KRIT1,O00522-1|O00522-2|O00522-3,C9JSG7-1
Q8NH08-1,reviewed,OR10AC1,Q8NH08-1,
F8WFD2-1,reviewed,NPIPA3,F8WFD2-1,
A0A0B4J280-1,unreviewed,TRAV40,,A0A0B4J280-1
O60292-1,reviewed,SIPA1L3,O60292-1,M0QX89-1
Q9UKS6-1,reviewed,PACSIN3,Q9UKS6-1,E9PIY1-1
Q9NST1-1,reviewed,PNPLA3,Q9NST1-1|Q9NST1-2,F8W8E5-1
P05109-1,reviewed,S100A8,P05109-1,
Q9Y2A4-1,reviewed,ZNF443,Q9Y2A4-1,F8WDY2-1
Q86UD1-1,reviewed,OAF,Q86UD1-1,E9PJ29-1
Q86U02-1,reviewed,HGNC:23167,Q86U02-1,
Q6IPT2-1,reviewed,FAM71E1,Q6IPT2-1|Q6IPT2-2,B3KWT0-1
P17342-1,reviewed,NPR3,P17342-1|P17342-2|P17342-3,C9JK69-1
Q9BU61-1,reviewed,NDUFAF3,Q9BU61-2|Q9BU61-1,
O75095-1,reviewed,MEGF6,O75095-1|O75095-2,H7C557-1
Q56VL3-1,reviewed,OCIAD2,Q56VL3-1|Q56VL3-2,D6RD77-1
Q9ULH7-1,reviewed,MKL2,Q9ULH7-1|Q9ULH7-2|Q9ULH7-3|Q9ULH7-4|Q9ULH7-5,I3L3Z7-1
Q8TC20-1,reviewed,CAGE1,Q8TC20-4|Q8TC20-1|Q8TC20-2|Q8TC20-3|Q8TC20-5,E7EUJ7-1
Q6P3W6-1,reviewed,NBPF10,Q6P3W6-1|Q6P3W6-2,A0A075B762-1
P78413-1,reviewed,IRX4,P78413-1|P78413-2,D6RC00-1
Q9BYN8-1,reviewed,MRPS26,Q9BYN8-1,
Q969H9-1,reviewed,DIRC1,Q969H9-1,
P0C0S5-1,reviewed,H2AFZ,P0C0S5-1,
Q12918-1,reviewed,KLRB1,Q12918-1,
P61163-1,reviewed,ACTR1A,P61163-1,A0A1B0GVS3-1
A0A1W2PP95-1,unreviewed,GSTTP1,,A0A1W2PP95-1
Q9NZ38-1,reviewed,HGNC:30885,Q9NZ38-1,
Q9Y5L3-1,reviewed,ENTPD2,Q9Y5L3-1|Q9Y5L3-2|Q9Y5L3-3,
A8MTL9-1,reviewed,HMSD,A8MTL9-1|P0C7T4-1,
Q9NPH0-1,reviewed,ACP6,Q9NPH0-1|Q9NPH0-2,A0A0A0MS36-1
Q9H4F1-1,reviewed,ST6GALNAC4,Q9H4F1-1,A6NJX0-1
Q96PQ6-1,reviewed,ZNF317,Q96PQ6-4|Q96PQ6-1|Q96PQ6-2|Q96PQ6-3,K7EKT9-1
Q96PU9-1,reviewed,ODF3,Q96PU9-1|Q96PU9-2|Q96PU9-3,F8W6Z3-1
K7ERQ8-1,unreviewed,ENSG00000267261,,K7ERQ8-1
P0C7T3-1,reviewed,OR56A5,P0C7T3-1,A0A087WUB2-1
Q15906-1,reviewed,VPS72,Q15906-1|Q15906-2,A0A1W2PPT2-1
A0A075B711-1,unreviewed,TRAJ29,,A0A075B711-1
P46782-1,reviewed,RPS5,P46782-1,M0QZN2-1
P35813-1,reviewed,PPM1A,P35813-1|P35813-2|P35813-3,E9PJN3-1
P41567-1,reviewed,EIF1,P41567-1,K7EQP2-1
Q8N2U9-1,reviewed,PQLC1,Q8N2U9-1|Q8N2U9-2|Q8N2U9-3,K7ERV4-1
Q9NPB0-1,reviewed,SAYSD1,Q9NPB0-1|Q9NPB0-2,
Q96JM2-1,reviewed,ZNF462,Q96JM2-1|Q96JM2-2|Q96JM2-3,H3BLX4-1
P0DMR1-1,reviewed,HNRNPCL4,P0DMR1-1,
Q86UX7-1,reviewed,FERMT3,Q86UX7-1|Q86UX7-2,F5H3I6-1
P04062-1,reviewed,GBA,P04062-1|P04062-2|P04062-3|P04062-4|P04062-5,A0A0G2JLB3-1
Q7Z5Q5-1,reviewed,POLN,Q7Z5Q5-1|Q7Z5Q5-3,H0YA88-1
Q9NZU5-1,reviewed,LMCD1,Q9NZU5-1|Q9NZU5-2,B4DEY6-1
Q15777-1,reviewed,MPPED2,Q15777-1|Q15777-2,E9PQW8-1
O75828-1,reviewed,CBR3,O75828-1,
Q13724-1,reviewed,MOGS,Q13724-1|Q13724-2,C9J8D4-1
A0A075B6V2-1,unreviewed,TRAJ21,,A0A075B6V2-1
A0A0J9YWY2-1,unreviewed,ENSG00000177359,,A0A0J9YWY2-1
P48634-1,reviewed,PRRC2A,P48634-1|P48634-2|P48634-3|P48634-4,
A0A0A0MS03-1,unreviewed,TRBV5-3,,A0A0A0MS03-1
Q8TEQ0-1,reviewed,SNX29,Q8TEQ0-1|Q8TEQ0-2,A0A0C4DGM3-1
Q6ZMT4-1,reviewed,KDM7A,Q6ZMT4-1|Q6ZMT4-2,H9KVD6-1
Q5T9C9-1,reviewed,PIP5KL1,Q5T9C9-1|Q5T9C9-2,
Q8TA94-1,reviewed,ZNF563,Q8TA94-1|Q8TA94-2,M0R1Q6-1
Q6UX73-1,reviewed,C16orf89,Q6UX73-1|Q6UX73-2,A0A0A0MT71-1
Q9HBV2-1,reviewed,SPACA1,Q9HBV2-1,
O95813-1,reviewed,CER1,O95813-1,
Q8WUY3-1,reviewed,PRUNE2,Q8WUY3-1|Q8WUY3-2|Q8WUY3-3|Q8WUY3-4|Q8WUY3-5,X6R9J3-1
Q9NUV7-1,reviewed,SPTLC3,Q9NUV7-1|Q9NUV7-2,B1AKS3-1
Q09470-1,reviewed,KCNA1,Q09470-1,A0A1W2PRI2-1
Q9Y6M1-2,reviewed,IGF2BP2,Q9Y6M1-2|Q9Y6M1-1|Q9Y6M1-3|Q9Y6M1-4|Q9Y6M1-5|Q9Y6M1-6,F8W930-1
A6NDL8-1,reviewed,OR6C68,A6NDL8-1,
P08243-1,reviewed,ASNS,P08243-1|P08243-2|P08243-3,C9JLN6-1
F6WH68-1,unreviewed,RTEL1-TNFRSF6B,,F6WH68-1
P0CF97-1,reviewed,FAM200B,P0CF97-1,D6RAC6-1
Q9UHK0-1,reviewed,NUFIP1,Q9UHK0-1,
Q9UBK5-1,reviewed,HCST,Q9UBK5-1|Q9UBK5-2,
P0DN86-1,reviewed,CGB5,P0DN86-1|P0DN86-2,
P20155-1,reviewed,SPINK2,P20155-1,D6RI10-1
Q9H3T3-1,reviewed,SEMA6B,Q9H3T3-1|Q9H3T3-3,
Q14565-1,reviewed,DMC1,Q14565-1|Q14565-2,B0QYE0-1
Q92622-1,reviewed,RUBCN,Q92622-1|Q92622-2|Q92622-3,A0A096LNI3-1
Q9UBD3-1,reviewed,XCL2,Q9UBD3-1,
Q8NGZ5-1,reviewed,OR2G2,Q8NGZ5-1,
A5YM72-1,reviewed,CARNS1,A5YM72-1|A5YM72-2|A5YM72-3|A5YM72-4|A5YM72-5,
P07355-1,reviewed,ANXA2,P07355-1|P07355-2,H0YLE2-1
Q8N145-1,reviewed,LGI3,Q8N145-1|Q8N145-2,E5RIV5-1
Q8NAV1-1,reviewed,PRPF38A,Q8NAV1-1|Q8NAV1-2,
Q01581-1,reviewed,HMGCS1,Q01581-1,D6RIW1-1
Q14582-1,reviewed,MXD4,Q14582-1,H0Y8Z5-1
O15533-1,reviewed,TAPBP,O15533-1|O15533-2|O15533-3|O15533-4,A0A0G2JJI5-1
Q07002-1,reviewed,CDK18,Q07002-2|Q07002-1|Q07002-3,D6R9X1-1
Q96KN8-1,reviewed,HRASLS5,Q96KN8-3|Q96KN8-1|Q96KN8-2,F5H4Q3-1
Q5JXX7-1,reviewed,TMEM31,Q5JXX7-1,
Q86YR6-1,reviewed,POTED,Q86YR6-1,A0A087X1W7-1
Q9HC84-1,reviewed,MUC5B,Q9HC84-1,H0YDX8-1
Q96M29-1,reviewed,TEKT5,Q96M29-1,I3L1F7-1
Q6P2D0-1,reviewed,ZFP1,Q6P2D0-1|Q6P2D0-2,H3BV40-1
Q13435-1,reviewed,SF3B2,Q13435-1,H0YCG1-1
P25021-1,reviewed,HRH2,P25021-1|P25021-2,A0A1B0GTK7-1
Q8TE56-1,reviewed,ADAMTS17,Q8TE56-1|Q8TE56-2,H3BV94-1
P04217-1,reviewed,A1BG,P04217-1|P04217-2,M0R009-1
Q8TDZ2-1,reviewed,MICAL1,Q8TDZ2-1|Q8TDZ2-2|Q8TDZ2-3|Q8TDZ2-4,Q5TED7-1
A0A0C4DH39-1,reviewed,IGHV1-58,A0A0C4DH39-1,
Q8NGL3-1,reviewed,OR5D14,Q8NGL3-1,
Q96A35-1,reviewed,MRPL24,Q96A35-1,X6RHI2-1
Q96RK1-1,reviewed,CITED4,Q96RK1-1,
P20908-1,reviewed,COL5A1,P20908-1,H7BY82-1
Q02040-1,reviewed,AKAP17A,Q02040-1|Q02040-2|Q02040-3,X6RAJ1-1
P17039-1,reviewed,ZNF30,P17039-1|P17039-2|P17039-3,V9GYJ2-1
P15421-1,reviewed,GYPE,P15421-1,E9PCN6-1
O15209-1,reviewed,ZBTB22,O15209-1,A2AB93-1
Q9NYA3-1,reviewed,GOLGA6A,Q9NYA3-1,
P08887-1,reviewed,IL6R,P08887-1|P08887-2,H0Y9B1-1
Q92541-1,reviewed,RTF1,Q92541-1,H0YKX1-1
Q8IX95-1,reviewed,HGNC:24348,Q8IX95-1,
Q68CQ7-1,reviewed,GLT8D1,Q68CQ7-1|Q68CQ7-2,C9JNB0-1
Q9P2U7-1,reviewed,SLC17A7,Q9P2U7-1|Q9P2U7-2|Q9P2U7-3,M0R1S5-1
P57739-1,reviewed,CLDN2,P57739-1,
Q9Y6A2-1,reviewed,CYP46A1,Q9Y6A2-1|Q9Y6A2-2|Q9Y6A2-3,G3V366-1
H7C471-1,unreviewed,ENSG00000248751,,H7C471-1
Q7Z2K8-1,reviewed,GPRIN1,Q7Z2K8-1|Q7Z2K8-2,
Q4KN68-1,reviewed,HGNC:16195,Q4KN68-1|Q4KN68-2,
Q9P2I0-1,reviewed,CPSF2,Q9P2I0-1,H0YJF4-1
P0DMV2-1,reviewed,CT45A9,P0DMV2-1,
Q8WWB3-1,reviewed,DYDC1,Q8WWB3-1|Q8WWB3-2,A0A0A0MSH3-1
I3L3M4-1,unreviewed,ENSG00000262302,,I3L3M4-1
Q5T0L3-1,reviewed,SPATA46,Q5T0L3-1,V9GYQ4-1
Q8WYN3-1,reviewed,CSRNP3,Q8WYN3-1|Q8WYN3-2,J3KQ49-1
Q9UN72-1,reviewed,PCDHA7,Q9UN72-1|Q9UN72-2,
P61566-1,reviewed,HGNC:39038,P61566-1,
Q2TAL5-1,reviewed,SMTNL2,Q2TAL5-1|Q2TAL5-2,I3L3R4-1
Q10571-1,reviewed,MN1,Q10571-1,H7C105-1
Q9Y5G4-1,reviewed,PCDHGA9,Q9Y5G4-1|Q9Y5G4-2,
Q96J02-1,reviewed,ITCH,Q96J02-2|Q96J02-1|Q96J02-3,A0A1W2PNZ8-1
Q6UXB8-1,reviewed,PI16,Q6UXB8-1|Q6UXB8-2,
Q8NCQ3-1,reviewed,HGNC:28603,Q8NCQ3-1,
Q96FV2-1,reviewed,SCRN2,Q96FV2-1|Q96FV2-2,J3QL71-1
Q9NY33-1,reviewed,DPP3,Q8NFJ9-2|Q9NY33-1|Q9NY33-2|Q9NY33-4,E9PQF2-1
A0A0A0MS06-1,unreviewed,TRBV23-1,,A0A0A0MS06-1
Q9C093-1,reviewed,SPEF2,Q9C093-1|Q9C093-2|Q9C093-3|Q9C093-4,H0Y989-1
Q9UKK3-1,reviewed,PARP4,Q9UKK3-1,
Q9H343-1,reviewed,OR51I1,Q9H343-1,
Q13278-1,reviewed,RIG,Q13278-1,
Q96IL0-1,reviewed,APOPT1,Q96IL0-1,H0YJK3-1
A8K7I4-1,reviewed,CLCA1,A8K7I4-1,
Q3MIP1-1,reviewed,ITPRIPL2,Q3MIP1-1,H3BPC7-1
Q96EV8-1,reviewed,DTNBP1,Q96EV8-1|Q96EV8-2|Q96EV8-3,D6RAR7-1
O43761-1,reviewed,SYNGR3,O43761-1,H3BPJ5-1
P30273-1,reviewed,FCER1G,P30273-1,A6NCQ8-1
Q96B36-1,reviewed,AKT1S1,Q96B36-1|Q96B36-2|Q96B36-3,M0R2V8-1
Q9NSE2-1,reviewed,CISH,Q9NSE2-1|Q9NSE2-2|Q9NSE2-3,
Q9H5Y7-1,reviewed,SLITRK6,Q9H5Y7-1,
